text,url
"mintSensex ends at record high led by banks, gains 314 pts; Nifty closes at 12,874 | Stock Market NewsSensex gained 314 points to end at record high of 43952 after crossing 44000 in early session, while Nifty closed at 12874. Tata Steel was the leader in the....17 Nov 2020",https://www.livemint.com/market/stock-market-news/sensex-nifty-live-today-17-11-2020-nifty-nse-bse-news-updates-11605580180958.html
"Business TodayShare Market Highlights: Sensex ends 314 points higher, Nifty at 12,874; SBI, Hindalco, Airtel top gainersDalal Street today: Global equities were buoyed today as positive macroeconomic data flow and hopes of a COVID-19 vaccine boosted investor sentiment..17 Nov 2020",https://www.businesstoday.in/markets/market-perspective/story/share-market-updates-sensex-nifty-live-stock-market-news-on-november-17-278943-2020-11-17
"Business TodayGlobal brokerages turn bullish on Indian equities, set new targets for NiftyNomura has raised its Nifty target to 13640 on Nifty50, while Goldman Sachs has pegged December 2021 Nifty50 target at 14100..15 Nov 2020",https://www.businesstoday.in/markets/market-perspective/story/global-brokerages-turn-bullish-on-indian-equities-what-they-expect-278728-2020-11-15
"NDTV ProfitDiwali 2020: Sensex, Nifty Soar To Record Highs In Special Muhurat Trading SessionThe Sensex ended 194.98 points - or 0.45 per cent - higher at 43,637.98 and the Nifty settled at 12,780.25, up 60.30 points - or 0.47 per cent - from its....14 Nov 2020",https://www.ndtvprofit.com/business/diwali-2020-muhurat-trading-market-live-updates-sensex-nifty-hit-record-highs-in-special-session-2325220
"MoneycontrolMuhurat Day Closing Bell: Indices end at record closing, Nifty above 12,750; BPCL up 5%All the sectoral indices ended in the green. BPCL, Tata Motors, IOC, HDFC Life and Bharti Airtel were among major gainers on the Nifty..14 Nov 2020",https://www.moneycontrol.com/news/business/markets/share-market-live-updates-stock-market-today-november-14-latest-news-bse-nse-sensex-nifty-muhurat-day-market-live-muhurat-day-market-live-6118901.html
"mintSensex ends 86 points higher in volatile session; Nifty at 12,720; banks recover | Stock Market NewsWelcome to the Mint live blog. Track this space for the latest stock market updates. 13 Nov 2020, 03:34:15 PM IST. Markets end in the green in a volatile....13 Nov 2020",https://www.livemint.com/market/stock-market-news/sensex-nifty-live-today-13-11-2020-nifty-nse-bse-news-updates-11605234795013.html
"mintBanks drag Sensex 236 pts even as FM unveils new stimulus; Nifty ends at 12,693 | Stock Market NewsEnding eight days of bull run, Sensex and Nifty closed in the red, shrugging off Finance Minister Nirmala Sitharaman's announcement of 12 measures under the....12 Nov 2020",https://www.livemint.com/market/stock-market-news/sensex-nifty-live-today-12-11-2020-nifty-nse-bse-news-updates-11605148615906.html
MoneycontrolDo you own any of these 28 stocks that helped Nifty scale Rs 100 lakh crore in market-cap?The Nifty50 market-capitalisation stood at Rs 101.3 lakh crore intraday on November 11 though at closing it fell to Rs 99.88 lakh crore..12 Nov 2020,https://www.moneycontrol.com/news/business/markets/do-you-own-any-of-these-28-stocks-that-helped-nifty-scale-rs-100-lakh-crore-in-market-cap-6109631.html
"The Economic TimesTraders' Diary: Nifty has major support at 12,430 levelInfosys and financials lead the market rally as 24 of 30 Sensex stocks end the day in the green..12 Nov 2020",https://m.economictimes.com/sensex-nifty-live-today-2020-11-11/liveblog/79162345.cms
"mintIndices gain for 8th day, Sensex ends 316 pts higher; Nifty near 12750; RIL down | Stock Market NewsWelcome to the Mint live blog. Track this space for the latest stock market updates. 11 Nov 2020, 03:50:21 PM IST. Share indices gain for eighth session..11 Nov 2020",https://www.livemint.com/market/stock-market-news/sensex-nifty-live-today-11-11-2020-nifty-nse-bse-news-updates-11605062008209.html
